city,lat,lon,date,rainfall_30d,rainfall_90d,temp_mean,temp_max,humidity_mean,drought_index,Sample_ID,Soil_Collection_Date,Depth_cm,pH,Org_Carbon_pct,Nitrogen_pct,Texture_Code
Mumbai,19.076,72.8777,2020-08-30,1093.6,3484.1,28.0,39.0,89.4,0.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-09-06,991.3,3290.4,27.6,43.3,86.8,1.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-09-13,834.3,3203.8,27.8,40.5,88.9,1.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-09-20,988.1,3135.9,26.4,38.5,93.4,0.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-09-27,1054.2,3284.4,26.4,38.2,86.7,0.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-10-04,1006.2,3165.9,26.4,37.6,82.0,0.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-10-11,900.4,2787.3,27.6,40.6,82.9,1.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-10-18,630.8,2622.4,26.0,38.2,81.6,0.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-10-25,314.6,2359.1,26.3,39.4,81.5,0.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-11-01,68.6,2096.8,27.4,37.9,84.3,0.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-11-08,52.2,1967.8,25.5,38.8,81.7,0.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-11-15,41.3,1667.7,25.7,36.0,79.5,0.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-11-22,41.3,1393.5,26.8,35.9,80.5,0.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-11-29,0.0,1119.0,25.3,36.2,82.5,0.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-12-06,0.0,1069.4,21.7,36.1,79.1,0.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-12-13,0.0,844.3,18.5,30.4,77.6,0.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-12-20,0.0,432.5,20.6,32.1,79.3,0.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2020-12-27,0.0,94.8,19.7,32.1,79.3,0.0,S_0019,2020-05-14,0-20,6.94,1.97,0.143,SCL
Mumbai,19.076,72.8777,2021-01-03,0.0,68.6,20.0,31.5,81.1,0.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-01-10,0.0,42.2,19.4,30.3,81.6,3.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-01-17,0.0,41.3,20.3,31.8,80.9,20.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-01-24,0.0,41.3,20.1,31.8,80.4,20.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-01-31,0.0,0.0,20.3,29.2,79.6,41.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-02-07,0.0,0.0,20.9,29.5,80.3,50.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-02-14,0.0,0.0,20.6,33.0,80.2,50.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-02-21,0.0,0.0,20.4,29.8,81.9,50.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-02-28,0.0,0.0,20.2,31.6,80.9,50.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-03-07,0.0,0.0,28.8,40.1,80.7,51.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-03-14,0.0,0.0,28.8,40.6,81.4,51.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-03-21,25.3,25.3,29.4,43.2,83.2,44.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-03-28,35.2,35.2,30.3,41.6,80.0,21.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-04-04,35.2,35.2,29.2,40.8,80.2,21.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-04-11,35.2,35.2,30.0,40.4,78.8,21.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-04-18,35.4,35.4,31.1,41.2,81.5,24.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-04-25,0.2,35.4,31.6,42.6,80.4,26.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-05-02,0.2,35.4,31.3,43.4,85.6,26.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-05-09,2.0,37.2,32.6,45.1,78.2,27.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-05-16,1.7,37.2,32.3,43.5,77.5,23.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-05-23,1.7,37.2,33.4,46.8,78.5,27.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-05-30,1.7,37.2,32.7,40.6,82.1,26.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-06-06,214.6,250.0,27.1,41.5,84.1,10.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-06-13,451.5,488.7,26.8,37.9,88.5,0.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-06-20,568.7,580.6,28.5,41.2,86.2,3.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-06-27,829.1,831.1,27.0,39.7,87.2,0.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-07-04,1002.1,1178.6,27.9,42.6,86.6,1.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-07-11,1051.5,1420.3,27.9,41.7,92.1,1.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-07-18,1112.8,1623.0,27.9,38.2,86.0,0.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-07-25,1207.7,1994.1,28.1,42.2,92.8,1.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-08-01,1172.6,2240.2,27.7,38.7,84.7,0.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-08-08,1296.8,2604.8,27.2,40.8,91.5,1.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-08-15,1448.5,3024.5,26.3,36.3,90.1,0.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-08-22,1375.8,3251.0,27.9,40.9,89.4,1.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-08-29,1246.3,3460.1,27.5,41.9,87.1,1.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-09-05,1351.4,3520.6,26.9,39.0,86.8,0.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-09-12,1215.4,3712.6,26.8,39.7,90.3,0.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-09-19,1053.0,3671.4,26.6,37.9,88.9,0.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-09-26,1238.6,3774.6,26.4,37.2,93.0,0.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-10-03,1232.7,3702.3,27.1,38.6,87.1,0.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-10-10,768.1,3495.4,27.5,39.8,82.6,0.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-10-17,671.5,3276.7,27.5,40.0,79.9,0.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-10-24,420.3,2908.1,27.1,40.0,79.7,0.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-10-31,0.3,2663.6,26.3,38.7,80.2,0.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-11-07,0.0,2288.2,26.6,36.6,84.7,0.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-11-14,0.0,1852.0,25.5,36.1,80.8,0.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-11-21,0.0,1630.4,24.9,38.5,82.9,0.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-11-28,3.6,1371.1,24.0,36.3,76.7,0.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-12-05,3.6,1081.3,22.5,36.5,78.1,0.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-12-12,3.6,751.1,20.2,31.1,80.3,0.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-12-19,3.6,554.5,20.2,32.1,80.9,0.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2021-12-26,0.0,263.1,20.4,32.0,82.1,0.0,S_0056,2021-02-28,0-20,6.66,2.01,0.116,SL
Mumbai,19.076,72.8777,2022-01-02,0.0,4.0,20.0,32.1,84.0,36.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-01-09,0.0,3.6,18.5,29.7,78.5,50.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-01-16,0.0,3.6,20.5,31.1,76.3,50.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-01-23,0.0,3.6,19.9,33.8,77.7,50.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-01-30,0.0,3.6,19.7,31.3,79.5,50.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-02-06,0.0,3.6,20.1,31.2,81.3,50.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-02-13,0.0,3.6,21.3,32.9,77.2,50.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-02-20,0.0,3.6,20.5,33.0,79.4,50.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-02-27,0.0,0.0,20.4,30.0,81.9,50.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-03-06,0.0,0.0,27.0,41.0,77.8,51.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-03-13,0.0,0.0,29.5,42.8,79.5,53.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-03-20,0.0,0.0,28.8,40.0,79.4,50.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-03-27,3.2,3.2,30.1,43.8,79.8,56.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-04-03,8.1,8.1,30.1,41.2,77.8,53.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-04-10,8.1,8.1,30.9,43.4,82.1,54.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-04-17,8.1,8.1,31.4,42.7,80.7,54.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-04-24,9.4,9.4,31.1,42.7,77.1,56.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-05-01,1.3,9.4,32.3,44.4,82.0,54.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-05-08,1.3,9.4,32.5,43.5,82.7,54.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-05-15,1.3,9.4,32.2,44.2,79.2,59.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-05-22,1.3,9.4,32.1,43.8,76.7,56.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-05-29,6.0,15.4,32.5,45.3,82.7,27.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-06-05,118.9,128.3,28.7,39.4,87.6,40.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-06-12,387.0,396.5,27.0,39.2,86.3,0.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-06-19,496.2,505.6,27.0,38.8,82.9,0.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-06-26,787.6,799.7,27.3,39.4,92.5,0.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-07-03,884.6,948.7,27.3,40.6,87.1,1.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-07-10,809.4,1148.0,28.5,42.7,87.6,1.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-07-17,882.8,1376.9,28.0,41.6,86.0,1.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-07-24,1063.5,1753.9,27.1,37.5,88.3,0.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-07-31,1267.0,2106.6,27.6,37.0,87.6,0.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-08-07,1485.1,2558.2,27.4,40.7,89.9,1.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-08-14,1406.8,2720.1,26.9,39.2,86.0,0.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-08-21,1276.8,2947.1,26.3,38.6,92.6,0.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-08-28,1224.1,3254.2,27.9,39.2,89.5,0.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-09-04,1240.5,3431.3,26.2,38.3,90.3,0.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-09-11,1131.5,3372.0,26.9,39.1,87.3,0.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-09-18,1282.7,3595.0,25.5,37.8,88.9,0.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-09-25,1268.2,3638.7,26.1,39.1,91.7,0.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-10-02,1261.6,3729.7,26.8,40.5,84.5,1.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-10-09,934.4,3529.6,28.2,41.7,82.3,1.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-10-16,703.4,3223.7,26.5,38.2,79.0,0.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-10-23,382.8,2855.5,26.8,38.4,80.9,0.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-10-30,35.2,2544.2,27.0,38.9,80.5,0.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-11-06,35.2,2128.2,25.5,36.0,81.7,0.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-11-13,35.2,1975.9,25.2,35.4,79.7,0.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-11-20,27.5,1702.8,25.3,36.6,80.5,0.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-11-27,0.0,1443.9,23.7,36.1,79.6,0.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-12-04,0.0,1094.0,21.4,31.6,80.6,0.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-12-11,0.0,853.6,21.0,32.4,77.0,0.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-12-18,0.0,590.8,20.9,32.6,79.9,0.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2022-12-25,0.0,177.5,19.5,32.2,77.9,0.0,S_0093,2022-12-16,0-20,5.54,1.42,0.096,SL
Mumbai,19.076,72.8777,2023-01-01,0.0,35.2,19.5,32.5,80.3,11.0,S_0130,2023-12-07,0-20,5.72,1.5,0.1,SL
Mumbai,19.076,72.8777,2023-01-08,0.0,35.2,19.8,31.7,79.1,20.0,S_0130,2023-12-07,0-20,5.72,1.5,0.1,SL
Mumbai,19.076,72.8777,2023-01-15,0.0,35.2,20.0,29.6,79.7,20.0,S_0130,2023-12-07,0-20,5.72,1.5,0.1,SL
Mumbai,19.076,72.8777,2023-01-22,0.0,0.0,19.7,29.3,79.8,33.0,S_0130,2023-12-07,0-20,5.72,1.5,0.1,SL
Mumbai,19.076,72.8777,2023-01-29,0.0,0.0,20.6,33.2,79.9,50.0,S_0130,2023-12-07,0-20,5.72,1.5,0.1,SL
Mumbai,19.076,72.8777,2023-02-05,0.0,0.0,20.3,33.7,81.7,50.0,S_0130,2023-12-07,0-20,5.72,1.5,0.1,SL
Mumbai,19.076,72.8777,2023-02-12,0.0,0.0,19.8,32.6,80.0,50.0,S_0130,2023-12-07,0-20,5.72,1.5,0.1,SL
Mumbai,19.076,72.8777,2023-02-19,0.0,0.0,21.0,34.7,81.6,50.0,S_0130,2023-12-07,0-20,5.72,1.5,0.1,SL
Mumbai,19.076,72.8777,2023-02-26,0.0,0.0,21.2,33.1,80.8,50.0,S_0130,2023-12-07,0-20,5.72,1.5,0.1,SL
Mumbai,19.076,72.8777,2023-03-05,28.1,28.1,26.4,42.6,82.6,36.0,S_0130,2023-12-07,0-20,5.72,1.5,0.1,SL
Mumbai,19.076,72.8777,2023-03-12,28.1,28.1,29.3,43.2,79.4,26.0,S_0130,2023-12-07,0-20,5.72,1.5,0.1,SL
Mumbai,19.076,72.8777,2023-03-19,43.1,43.1,30.6,44.2,84.2,24.0,S_0130,2023-12-07,0-20,5.72,1.5,0.1,SL
Mumbai,19.076,72.8777,2023-03-26,43.1,43.1,30.6,42.1,79.8,26.0,S_0130,2023-12-07,0-20,5.72,1.5,0.1,SL
Mumbai,19.076,72.8777,2023-04-02,15.0,43.1,30.3,42.4,80.2,23.0,S_0130,2023-12-07,0-20,5.72,1.5,0.1,SL
Mumbai,19.076,72.8777,2023-04-09,15.0,43.1,31.1,43.1,78.3,29.0,S_0130,2023-12-07,0-20,5.72,1.5,0.1,SL
Mumbai,19.076,72.8777,2023-04-16,0.0,43.1,31.5,44.4,81.9,26.0,S_0130,2023-12-07,0-20,5.72,1.5,0.1,SL
Mumbai,19.076,72.8777,2023-04-23,0.0,43.1,31.4,40.4,74.0,21.0,S_0130,2023-12-07,0-20,5.72,1.5,0.1,SL
Mumbai,19.076,72.8777,2023-04-30,0.0,43.1,32.2,45.1,77.2,26.0,S_0130,2023-12-07,0-20,5.72,1.5,0.1,SL
Mumbai,19.076,72.8777,2023-05-07,0.0,43.1,31.2,43.4,79.5,26.0,S_0130,2023-12-07,0-20,5.72,1.5,0.1,SL
Mumbai,19.076,72.8777,2023-05-14,0.0,43.1,32.4,42.5,84.3,23.0,S_0130,2023-12-07,0-20,5.72,1.5,0.1,SL
Mumbai,19.076,72.8777,2023-05-21,11.1,54.2,31.4,43.7,81.0,17.0,S_0130,2023-12-07,0-20,5.72,1.5,0.1,SL
